112th Precinct,,
Backing Unsafely,0,3
Brake Lights (Defect.or  Improper),1,5
"Bus Lane, Driving in",0,0
Cell Phone,181,418
Commercial Veh on Pkwy,1,2
Defective Brakes,0,0
Disobey Sign,229,636
Equipment (Other),5,10
Fail to Keep Right,0,0
Fail to Signal,2,10
Fail to Stop on Signal,59,132
Following Too Closely,0,1
Headlights (Defect. or Improper),0,3
Improper Lights,0,0
Improper Passing,3,7
Improper Turn,49,74
Improper/Missing Plates,0,2
Not Giving R of W to Pedes.,81,176
Not Giving R of W to Veh.,0,2
One Way Street,7,27
Pavement Markings,8,22
Safety Belt,131,547
"School Bus, Passing Stopped",1,2
Speeding,41,133
Spillback,0,0
Tinted Windows,58,184
Truck Routes,5,15
U-Turn,0,0
Uninspected,0,4
Uninsured,39,126
Unlicensed Operator,38,121
Unregistered,4,12
Unsafe Lane Change,2,9
Other Movers,65,124
TOTAL Movers,1010,2807
